sentiment             ,verbs                                                         ,edges
-0.34                 ,look                                                          ,"('Abadi', 'Iran')"
-0.1779               ,"lead,say"                                                    ,"('Abadi', 'Mosul')"
-0.34                 ,look                                                          ,"('Abadi', 'the Dawa party')"
0.1531                ,launch                                                        ,"('Adnan al-Shahmani', 'Asaib Ahl al-Haq')"
0.1531                ,launch                                                        ,"('Adnan al-Shahmani', 'Ressaliun Brigades')"
0.0                   ,"stand,publish,talk"                                          ,"('Ali al-Sistani', 'Baghdad')"
0.0                   ,"stand,publish,talk"                                          ,"('Ali al-Sistani', 'ISIS')"
-0.5994               ,"work,receive"                                                ,"('Anbar', 'Mosul')"
-0.5994               ,"work,receive"                                                ,"('Anbar', 'the Iraqi Army')"
0.9052                ,"do,see,act,ensure"                                           ,"('Ansarullah', 'PMF')"
0.0                   ,"follow,call,push,defend"                                     ,"('Ayatollah Ali Khamenei', 'Haider al-Abadi')"
0.5859                ,"launch,draw,include"                                         ,"('Badr Organization', 'Islamic Revolutionary Guard Corps')"
-0.2679333333333333   ,"destroy,run,bolster"                                         ,"('Badreddine', 'Iraq')"
0.34                  ,bolster                                                       ,"('Badreddine', 'Saddam Hussein')"
-0.0258               ,"take,bolster"                                                ,"('Baghdad', 'Irbil')"
-0.3869               ,"take,fight"                                                  ,"('Baghdad', 'Tehran')"
-0.3869               ,"take,fight"                                                  ,"('Baghdad', 'the Islamic State')"
-0.3869               ,"take,fight"                                                  ,"('Baghdad', 'the United States')"
0.6597                ,make                                                          ,"('Daesh', 'Abadi')"
0.6597                ,make                                                          ,"('Daesh', 'Iraq')"
0.6597                ,make                                                          ,"('Daesh', 'Tehran')"
0.2924                ,"do,suggest,come"                                             ,"('Egypt', 'ISIS')"
0.2924                ,"do,suggest,come"                                             ,"('Egypt', 'Iraq')"
-0.5423               ,take                                                          ,"('Emmanuel Macron', 'Donald Trump')"
-0.5423               ,take                                                          ,"('Emmanuel Macron', 'the United Nations')"
0.4588                ,"pose,call,appear"                                            ,"('Etemaad', 'Soleimani')"
-0.0258               ,return                                                        ,"('Facebook', 'Twitter')"
-0.8442               ,"operate,receive"                                             ,"('Hadi al-Amiri', 'Najaf')"
-0.8442               ,"operate,receive"                                             ,"('Hadi al-Amiri', 'the Badr Organisation')"
-0.8442               ,"operate,receive"                                             ,"('Hadi al-Amiri', 'the Popular Mobilisation Units')"
0.3818                ,write                                                         ,"('Hezbollah', 'Beirut')"
0.3818                ,write                                                         ,"('Hezbollah', 'Hassan Nasrallah')"
-0.875                ,"meet,kill"                                                   ,"('Hezbollah', 'IRGC')"
0.0                   ,use                                                           ,"('Hezbollah', 'ISIS')"
-0.0028750000000000164,"tell,fight,condemn,see,do,put,bring,get"                     ,"('Hezbollah', 'Iran')"
0.0258                ,"cover,provide"                                               ,"('Hezbollah', 'Israel')"
-0.8979               ,"condemn,tell"                                                ,"('Hezbollah', 'Lebanon')"
0.0                   ,use                                                           ,"('Hezbollah', 'Mosul')"
-0.18769999999999998  ,"bring,fight,see"                                             ,"('Hezbollah', 'PMF')"
